用户编号：12
当前时间：2011-09-16T16:31:42:303
任务号:3,任务：任务3
小组号:1,小组:第1组
视频名称:麋鹿王
问题类型:Comprehension
*************************Spiral***********************
ComprehensionStart:2011-09-16T16:31:54:483
ComprehensionDown:2011-09-16T16:33:46:592
第0题的答案是：1,你选择的答案是：1
第1题的答案是：0,你选择的答案是：0
第2题的答案是：0,你选择的答案是：0
第3题的答案是：0,你选择的答案是：0
你的正确比例是4/4
MOVE: (91,264) 2011-09-16T16:31:48:483
MOVE: (91,266) 2011-09-16T16:31:48:893
MOVE: (91,268) 2011-09-16T16:31:48:901
MOVE: (91,269) 2011-09-16T16:31:48:909
MOVE: (92,269) 2011-09-16T16:31:48:933
MOVE: (94,269) 2011-09-16T16:31:49:365
MOVE: (97,271) 2011-09-16T16:31:49:373
MOVE: (104,275) 2011-09-16T16:31:49:381
MOVE: (116,281) 2011-09-16T16:31:49:389
MOVE: (127,288) 2011-09-16T16:31:49:397
MOVE: (138,295) 2011-09-16T16:31:49:405
MOVE: (150,300) 2011-09-16T16:31:49:413
MOVE: (163,307) 2011-09-16T16:31:49:421
MOVE: (174,316) 2011-09-16T16:31:49:428
MOVE: (194,328) 2011-09-16T16:31:49:436
MOVE: (216,342) 2011-09-16T16:31:49:445
MOVE: (244,364) 2011-09-16T16:31:49:453
MOVE: (298,405) 2011-09-16T16:31:49:476
MOVE: (322,427) 2011-09-16T16:31:49:481
MOVE: (340,444) 2011-09-16T16:31:49:486
MOVE: (348,454) 2011-09-16T16:31:49:494
MOVE: (353,462) 2011-09-16T16:31:49:501
MOVE: (353,466) 2011-09-16T16:31:49:508
MOVE: (353,469) 2011-09-16T16:31:49:517
MOVE: (353,471) 2011-09-16T16:31:49:524
MOVE: (353,474) 2011-09-16T16:31:49:532
MOVE: (351,477) 2011-09-16T16:31:49:540
MOVE: (351,478) 2011-09-16T16:31:49:556
MOVE: (353,478) 2011-09-16T16:31:49:677
MOVE: (358,476) 2011-09-16T16:31:49:685
MOVE: (364,473) 2011-09-16T16:31:49:693
MOVE: (371,470) 2011-09-16T16:31:49:701
MOVE: (379,468) 2011-09-16T16:31:49:709
MOVE: (386,465) 2011-09-16T16:31:49:717
MOVE: (392,462) 2011-09-16T16:31:49:725
MOVE: (396,461) 2011-09-16T16:31:49:733
MOVE: (400,460) 2011-09-16T16:31:49:741
MOVE: (402,459) 2011-09-16T16:31:49:749
MOVE: (404,459) 2011-09-16T16:31:49:757
MOVE: (406,459) 2011-09-16T16:31:49:765
MOVE: (408,459) 2011-09-16T16:31:49:773
MOVE: (410,459) 2011-09-16T16:31:49:782
MOVE: (411,459) 2011-09-16T16:31:49:789
MOVE: (412,459) 2011-09-16T16:31:49:797
MOVE: (414,459) 2011-09-16T16:31:49:805
MOVE: (415,459) 2011-09-16T16:31:49:813
MOVE: (416,459) 2011-09-16T16:31:49:821
MOVE: (419,459) 2011-09-16T16:31:49:829
MOVE: (423,459) 2011-09-16T16:31:49:837
MOVE: (427,461) 2011-09-16T16:31:49:845
MOVE: (433,463) 2011-09-16T16:31:49:852
MOVE: (439,464) 2011-09-16T16:31:49:860
MOVE: (446,466) 2011-09-16T16:31:49:868
MOVE: (455,468) 2011-09-16T16:31:49:876
MOVE: (464,470) 2011-09-16T16:31:49:884
MOVE: (475,471) 2011-09-16T16:31:49:892
MOVE: (518,474) 2011-09-16T16:31:49:928
MOVE: (529,474) 2011-09-16T16:31:49:932
MOVE: (538,474) 2011-09-16T16:31:49:940
MOVE: (547,475) 2011-09-16T16:31:49:948
MOVE: (553,475) 2011-09-16T16:31:49:956
MOVE: (559,475) 2011-09-16T16:31:49:965
MOVE: (562,475) 2011-09-16T16:31:49:972
MOVE: (564,475) 2011-09-16T16:31:49:980
MOVE: (559,472) 2011-09-16T16:31:51:525
MOVE: (557,470) 2011-09-16T16:31:51:641
MOVE: (556,470) 2011-09-16T16:31:51:642
MOVE: (563,459) 2011-09-16T16:31:51:744
MOVE: (579,449) 2011-09-16T16:31:51:852
MOVE: (575,450) 2011-09-16T16:31:52:147
MOVE: (572,452) 2011-09-16T16:31:52:148
MOVE: (495,461) 2011-09-16T16:31:52:254
MOVE: (485,461) 2011-09-16T16:31:52:353
MOVE: (391,442) 2011-09-16T16:31:53:818
MOVE: (26,425) 2011-09-16T16:31:53:917
MOVE: (128,386) 2011-09-16T16:31:54:718
MOVE: (158,399) 2011-09-16T16:31:54:824
MOVE: (210,414) 2011-09-16T16:31:54:923
MOVE: (225,419) 2011-09-16T16:31:55:30
MOVE: (467,467) 2011-09-16T16:31:55:131
