用户编号：12
当前时间：2011-09-16T16:35:23:157
任务号:1,任务：任务1
小组号:3,小组:第3组
视频名称:大雄兔
问题类型:Comprehension
*************************Tapestry***********************
ComprehensionStart:2011-09-16T16:35:32:564
ComprehensionDown:2011-09-16T16:37:17:55
第0题的答案是：0,你选择的答案是：0
第1题的答案是：1,你选择的答案是：1
第2题的答案是：1,你选择的答案是：1
第3题的答案是：1,你选择的答案是：1
你的正确比例是4/4
MOVE: (326,699) 2011-09-16T16:35:29:488
MOVE: (326,700) 2011-09-16T16:35:30:138
MOVE: (327,704) 2011-09-16T16:35:30:146
MOVE: (329,706) 2011-09-16T16:35:30:154
MOVE: (330,708) 2011-09-16T16:35:30:163
MOVE: (331,708) 2011-09-16T16:35:30:170
MOVE: (331,709) 2011-09-16T16:35:30:178
MOVE: (332,711) 2011-09-16T16:35:30:186
MOVE: (333,712) 2011-09-16T16:35:30:196
MOVE: (333,713) 2011-09-16T16:35:30:202
MOVE: (333,714) 2011-09-16T16:35:30:218
MOVE: (334,715) 2011-09-16T16:35:30:227
MOVE: (334,716) 2011-09-16T16:35:30:235
MOVE: (335,716) 2011-09-16T16:35:30:250
MOVE: (335,718) 2011-09-16T16:35:30:251
MOVE: (336,719) 2011-09-16T16:35:30:258
MOVE: (336,720) 2011-09-16T16:35:30:266
MOVE: (337,721) 2011-09-16T16:35:30:275
MOVE: (337,722) 2011-09-16T16:35:30:282
MOVE: (338,722) 2011-09-16T16:35:30:291
MOVE: (339,722) 2011-09-16T16:35:30:298
MOVE: (339,723) 2011-09-16T16:35:30:322
MOVE: (333,717) 2011-09-16T16:35:31:851
MOVE: (319,704) 2011-09-16T16:35:31:859
MOVE: (86,595) 2011-09-16T16:35:31:918
MOVE: (58,577) 2011-09-16T16:35:31:923
MOVE: (39,564) 2011-09-16T16:35:31:931
MOVE: (21,551) 2011-09-16T16:35:31:939
MOVE: (1,535) 2011-09-16T16:35:31:947
MOVE: (9,449) 2011-09-16T16:35:32:996
MOVE: (40,486) 2011-09-16T16:35:33:4
MOVE: (71,523) 2011-09-16T16:35:33:11
MOVE: (101,555) 2011-09-16T16:35:33:24
MOVE: (130,581) 2011-09-16T16:35:33:27
MOVE: (159,604) 2011-09-16T16:35:33:35
MOVE: (182,622) 2011-09-16T16:35:33:43
MOVE: (199,637) 2011-09-16T16:35:33:52
MOVE: (218,649) 2011-09-16T16:35:33:70
MOVE: (223,651) 2011-09-16T16:35:33:75
MOVE: (225,652) 2011-09-16T16:35:33:83
MOVE: (226,653) 2011-09-16T16:35:33:171
MOVE: (228,654) 2011-09-16T16:35:33:179
MOVE: (229,655) 2011-09-16T16:35:33:195
MOVE: (230,656) 2011-09-16T16:35:33:211
MOVE: (231,656) 2011-09-16T16:35:33:251
MOVE: (232,657) 2011-09-16T16:35:36:179
MOVE: (237,659) 2011-09-16T16:35:36:187
MOVE: (243,661) 2011-09-16T16:35:36:195
MOVE: (248,661) 2011-09-16T16:35:36:203
MOVE: (253,661) 2011-09-16T16:35:36:211
MOVE: (258,662) 2011-09-16T16:35:36:219
MOVE: (261,663) 2011-09-16T16:35:36:227
MOVE: (264,664) 2011-09-16T16:35:36:235
MOVE: (266,665) 2011-09-16T16:35:36:243
MOVE: (268,665) 2011-09-16T16:35:36:252
MOVE: (269,665) 2011-09-16T16:35:36:275
MOVE: (266,665) 2011-09-16T16:35:36:421
MOVE: (261,665) 2011-09-16T16:35:36:427
MOVE: (254,665) 2011-09-16T16:35:36:435
MOVE: (245,665) 2011-09-16T16:35:36:443
MOVE: (237,665) 2011-09-16T16:35:36:452
MOVE: (226,665) 2011-09-16T16:35:36:459
MOVE: (218,665) 2011-09-16T16:35:36:467
MOVE: (210,665) 2011-09-16T16:35:36:475
MOVE: (202,665) 2011-09-16T16:35:36:483
MOVE: (195,665) 2011-09-16T16:35:36:491
MOVE: (189,665) 2011-09-16T16:35:36:499
MOVE: (183,664) 2011-09-16T16:35:36:507
MOVE: (178,663) 2011-09-16T16:35:36:515
MOVE: (173,663) 2011-09-16T16:35:36:523
MOVE: (170,663) 2011-09-16T16:35:36:531
MOVE: (168,663) 2011-09-16T16:35:36:539
MOVE: (166,663) 2011-09-16T16:35:36:547
MOVE: (163,663) 2011-09-16T16:35:36:555
MOVE: (161,663) 2011-09-16T16:35:36:563
MOVE: (157,666) 2011-09-16T16:35:36:571
MOVE: (155,667) 2011-09-16T16:35:36:579
MOVE: (153,669) 2011-09-16T16:35:36:587
MOVE: (149,670) 2011-09-16T16:35:36:595
MOVE: (147,672) 2011-09-16T16:35:36:603
MOVE: (145,673) 2011-09-16T16:35:36:611
MOVE: (143,673) 2011-09-16T16:35:36:619
MOVE: (141,673) 2011-09-16T16:35:36:627
MOVE: (140,673) 2011-09-16T16:35:36:635
MOVE: (139,673) 2011-09-16T16:35:36:643
MOVE: (138,673) 2011-09-16T16:35:36:667
MOVE: (138,673) 2011-09-16T16:35:36:826
DOWN: (138,673) 2011-09-16T16:35:36:828
MOVE: (139,674) 2011-09-16T16:35:36:899
MOVE: (143,675) 2011-09-16T16:35:36:907
MOVE: (150,676) 2011-09-16T16:35:36:915
MOVE: (161,677) 2011-09-16T16:35:36:923
MOVE: (175,678) 2011-09-16T16:35:36:931
MOVE: (187,678) 2011-09-16T16:35:36:939
MOVE: (202,679) 2011-09-16T16:35:36:947
MOVE: (217,681) 2011-09-16T16:35:36:955
MOVE: (233,681) 2011-09-16T16:35:36:963
MOVE: (248,681) 2011-09-16T16:35:36:971
MOVE: (260,681) 2011-09-16T16:35:36:979
MOVE: (273,681) 2011-09-16T16:35:36:987
MOVE: (283,681) 2011-09-16T16:35:36:995
MOVE: (294,681) 2011-09-16T16:35:37:3
MOVE: (303,681) 2011-09-16T16:35:37:12
MOVE: (311,681) 2011-09-16T16:35:37:19
MOVE: (318,681) 2011-09-16T16:35:37:27
MOVE: (323,681) 2011-09-16T16:35:37:35
MOVE: (329,680) 2011-09-16T16:35:37:43
MOVE: (335,680) 2011-09-16T16:35:37:51
MOVE: (342,680) 2011-09-16T16:35:37:59
MOVE: (349,679) 2011-09-16T16:35:37:67
MOVE: (355,679) 2011-09-16T16:35:37:75
MOVE: (362,679) 2011-09-16T16:35:37:83
MOVE: (372,678) 2011-09-16T16:35:37:91
MOVE: (381,675) 2011-09-16T16:35:37:99
MOVE: (389,675) 2011-09-16T16:35:37:107
MOVE: (397,673) 2011-09-16T16:35:37:115
MOVE: (406,672) 2011-09-16T16:35:37:123
MOVE: (414,672) 2011-09-16T16:35:37:131
MOVE: (421,671) 2011-09-16T16:35:37:139
MOVE: (429,670) 2011-09-16T16:35:37:147
MOVE: (437,670) 2011-09-16T16:35:37:155
MOVE: (446,669) 2011-09-16T16:35:37:163
MOVE: (458,669) 2011-09-16T16:35:37:171
MOVE: (470,669) 2011-09-16T16:35:37:179
MOVE: (485,669) 2011-09-16T16:35:37:187
MOVE: (499,669) 2011-09-16T16:35:37:195
MOVE: (514,668) 2011-09-16T16:35:37:203
MOVE: (527,668) 2011-09-16T16:35:37:211
MOVE: (538,668) 2011-09-16T16:35:37:219
MOVE: (550,667) 2011-09-16T16:35:37:227
MOVE: (560,667) 2011-09-16T16:35:37:235
MOVE: (568,667) 2011-09-16T16:35:37:243
MOVE: (575,666) 2011-09-16T16:35:37:251
MOVE: (581,665) 2011-09-16T16:35:37:259
MOVE: (585,665) 2011-09-16T16:35:37:267
MOVE: (591,663) 2011-09-16T16:35:37:275
MOVE: (594,661) 2011-09-16T16:35:37:283
MOVE: (600,659) 2011-09-16T16:35:37:291
MOVE: (607,657) 2011-09-16T16:35:37:299
MOVE: (613,655) 2011-09-16T16:35:37:307
MOVE: (620,654) 2011-09-16T16:35:37:315
MOVE: (626,652) 2011-09-16T16:35:37:323
MOVE: (632,652) 2011-09-16T16:35:37:331
MOVE: (637,652) 2011-09-16T16:35:37:340
MOVE: (642,652) 2011-09-16T16:35:37:347
MOVE: (646,652) 2011-09-16T16:35:37:355
MOVE: (650,652) 2011-09-16T16:35:37:363
MOVE: (655,653) 2011-09-16T16:35:37:371
MOVE: (657,654) 2011-09-16T16:35:37:379
MOVE: (659,654) 2011-09-16T16:35:37:387
MOVE: (661,655) 2011-09-16T16:35:37:395
MOVE: (662,655) 2011-09-16T16:35:37:403
MOVE: (663,655) 2011-09-16T16:35:37:411
MOVE: (663,656) 2011-09-16T16:35:37:451
MOVE: (663,656) 2011-09-16T16:35:37:544
