用户编号：12
当前时间：2011-09-16T16:25:45:650
任务号:2,任务：任务2
小组号:2,小组:第2组
视频名称:憨豆先生1
问题类型:Comprehension
*************************Tile***********************
ComprehensionStart:2011-09-16T16:25:57:127
ComprehensionDown:2011-09-16T16:29:47:490
第0题的答案是：1,你选择的答案是：1
第1题的答案是：1,你选择的答案是：1
第2题的答案是：1,你选择的答案是：1
第3题的答案是：0,你选择的答案是：0
你的正确比例是4/4
MOVE: (494,382) 2011-09-16T16:26:05:551
MOVE: (496,381) 2011-09-16T16:26:05:559
MOVE: (497,381) 2011-09-16T16:26:05:567
MOVE: (499,381) 2011-09-16T16:26:05:583
MOVE: (500,381) 2011-09-16T16:26:05:591
MOVE: (501,381) 2011-09-16T16:26:05:599
MOVE: (504,381) 2011-09-16T16:26:05:607
MOVE: (506,381) 2011-09-16T16:26:05:615
MOVE: (508,380) 2011-09-16T16:26:05:623
MOVE: (511,378) 2011-09-16T16:26:05:631
MOVE: (514,375) 2011-09-16T16:26:05:639
MOVE: (516,372) 2011-09-16T16:26:05:647
MOVE: (519,365) 2011-09-16T16:26:05:655
MOVE: (519,363) 2011-09-16T16:26:05:663
MOVE: (520,363) 2011-09-16T16:26:05:743
MOVE: (521,363) 2011-09-16T16:26:05:871
MOVE: (523,363) 2011-09-16T16:26:06:7
MOVE: (525,364) 2011-09-16T16:26:06:15
MOVE: (531,366) 2011-09-16T16:26:06:23
MOVE: (537,367) 2011-09-16T16:26:06:31
MOVE: (548,369) 2011-09-16T16:26:06:49
MOVE: (553,371) 2011-09-16T16:26:06:55
MOVE: (557,371) 2011-09-16T16:26:06:63
MOVE: (563,371) 2011-09-16T16:26:06:71
MOVE: (569,371) 2011-09-16T16:26:06:79
MOVE: (579,374) 2011-09-16T16:26:06:87
MOVE: (589,377) 2011-09-16T16:26:06:95
MOVE: (600,382) 2011-09-16T16:26:06:103
MOVE: (612,385) 2011-09-16T16:26:06:111
MOVE: (621,387) 2011-09-16T16:26:06:119
MOVE: (633,391) 2011-09-16T16:26:06:129
MOVE: (642,392) 2011-09-16T16:26:06:135
MOVE: (651,393) 2011-09-16T16:26:06:143
MOVE: (662,393) 2011-09-16T16:26:06:151
MOVE: (673,394) 2011-09-16T16:26:06:159
MOVE: (688,395) 2011-09-16T16:26:06:167
MOVE: (700,397) 2011-09-16T16:26:06:175
MOVE: (715,399) 2011-09-16T16:26:06:183
MOVE: (730,401) 2011-09-16T16:26:06:191
MOVE: (744,402) 2011-09-16T16:26:06:199
MOVE: (761,405) 2011-09-16T16:26:06:207
MOVE: (775,407) 2011-09-16T16:26:06:215
MOVE: (790,408) 2011-09-16T16:26:06:223
MOVE: (804,409) 2011-09-16T16:26:06:231
MOVE: (815,410) 2011-09-16T16:26:06:239
MOVE: (823,411) 2011-09-16T16:26:06:247
MOVE: (831,411) 2011-09-16T16:26:06:255
MOVE: (838,412) 2011-09-16T16:26:06:263
MOVE: (843,413) 2011-09-16T16:26:06:271
MOVE: (848,414) 2011-09-16T16:26:06:279
MOVE: (852,415) 2011-09-16T16:26:06:287
MOVE: (854,415) 2011-09-16T16:26:06:295
MOVE: (857,416) 2011-09-16T16:26:06:303
MOVE: (859,416) 2011-09-16T16:26:06:311
MOVE: (862,416) 2011-09-16T16:26:06:319
MOVE: (867,418) 2011-09-16T16:26:06:327
MOVE: (870,419) 2011-09-16T16:26:06:335
MOVE: (873,420) 2011-09-16T16:26:06:343
MOVE: (876,420) 2011-09-16T16:26:06:351
MOVE: (878,420) 2011-09-16T16:26:06:359
MOVE: (879,420) 2011-09-16T16:26:06:367
MOVE: (881,420) 2011-09-16T16:26:06:375
MOVE: (882,420) 2011-09-16T16:26:06:431
MOVE: (883,420) 2011-09-16T16:26:06:440
MOVE: (885,420) 2011-09-16T16:26:06:447
MOVE: (887,420) 2011-09-16T16:26:06:455
MOVE: (890,420) 2011-09-16T16:26:06:463
MOVE: (893,420) 2011-09-16T16:26:06:472
MOVE: (895,420) 2011-09-16T16:26:06:479
MOVE: (897,420) 2011-09-16T16:26:06:487
MOVE: (899,420) 2011-09-16T16:26:06:495
MOVE: (899,417) 2011-09-16T16:26:06:943
MOVE: (897,412) 2011-09-16T16:26:06:951
MOVE: (895,406) 2011-09-16T16:26:06:959
MOVE: (893,401) 2011-09-16T16:26:06:967
MOVE: (891,396) 2011-09-16T16:26:06:975
MOVE: (890,392) 2011-09-16T16:26:06:983
MOVE: (889,389) 2011-09-16T16:26:06:991
MOVE: (887,387) 2011-09-16T16:26:06:999
MOVE: (886,384) 2011-09-16T16:26:07:7
MOVE: (886,382) 2011-09-16T16:26:07:15
MOVE: (884,381) 2011-09-16T16:26:07:23
MOVE: (884,379) 2011-09-16T16:26:07:31
MOVE: (883,378) 2011-09-16T16:26:07:39
MOVE: (881,376) 2011-09-16T16:26:07:47
MOVE: (881,375) 2011-09-16T16:26:07:55
MOVE: (879,373) 2011-09-16T16:26:07:63
MOVE: (877,370) 2011-09-16T16:26:07:71
MOVE: (874,367) 2011-09-16T16:26:07:79
MOVE: (869,360) 2011-09-16T16:26:07:87
MOVE: (865,353) 2011-09-16T16:26:07:95
MOVE: (858,343) 2011-09-16T16:26:07:103
MOVE: (850,331) 2011-09-16T16:26:07:111
MOVE: (841,318) 2011-09-16T16:26:07:119
MOVE: (833,307) 2011-09-16T16:26:07:126
MOVE: (824,298) 2011-09-16T16:26:07:134
MOVE: (818,290) 2011-09-16T16:26:07:142
MOVE: (813,285) 2011-09-16T16:26:07:150
MOVE: (808,281) 2011-09-16T16:26:07:158
MOVE: (804,279) 2011-09-16T16:26:07:166
MOVE: (802,278) 2011-09-16T16:26:07:174
MOVE: (801,277) 2011-09-16T16:26:07:182
