用户编号：12
当前时间：2011-09-16T16:19:53:622
任务号:5,任务：学习
小组号:2,小组:第2组
视频名称:大头儿子小头爸爸
问题类型:Comprehension
*************************Tile***********************
ComprehensionStart:2011-09-16T16:20:01:283
ComprehensionDown:2011-09-16T16:20:39:743
第0题的答案是：1,你选择的答案是：1
第1题的答案是：0,你选择的答案是：0
第2题的答案是：1,你选择的答案是：1
第3题的答案是：1,你选择的答案是：1
你的正确比例是4/4
MOVE: (5,322) 2011-09-16T16:19:58:221
MOVE: (21,330) 2011-09-16T16:19:58:228
MOVE: (38,335) 2011-09-16T16:19:58:234
MOVE: (55,342) 2011-09-16T16:19:58:242
MOVE: (68,347) 2011-09-16T16:19:58:250
MOVE: (79,351) 2011-09-16T16:19:58:258
MOVE: (89,354) 2011-09-16T16:19:58:266
MOVE: (95,356) 2011-09-16T16:19:58:274
MOVE: (98,358) 2011-09-16T16:19:58:282
MOVE: (100,358) 2011-09-16T16:19:58:291
MOVE: (101,359) 2011-09-16T16:19:58:299
MOVE: (95,361) 2011-09-16T16:19:59:11
MOVE: (87,362) 2011-09-16T16:19:59:19
MOVE: (76,363) 2011-09-16T16:19:59:27
MOVE: (73,364) 2011-09-16T16:19:59:35
MOVE: (60,364) 2011-09-16T16:19:59:44
MOVE: (60,363) 2011-09-16T16:19:59:347
MOVE: (59,362) 2011-09-16T16:19:59:531
MOVE: (58,362) 2011-09-16T16:19:59:547
MOVE: (58,361) 2011-09-16T16:19:59:557
MOVE: (58,360) 2011-09-16T16:19:59:563
MOVE: (58,359) 2011-09-16T16:19:59:603
MOVE: (58,357) 2011-09-16T16:19:59:875
MOVE: (58,356) 2011-09-16T16:20:00:107
MOVE: (58,355) 2011-09-16T16:20:00:115
MOVE: (58,354) 2011-09-16T16:20:00:131
MOVE: (57,354) 2011-09-16T16:20:00:163
MOVE: (56,354) 2011-09-16T16:20:00:171
MOVE: (54,354) 2011-09-16T16:20:00:179
MOVE: (52,354) 2011-09-16T16:20:00:187
MOVE: (49,354) 2011-09-16T16:20:00:196
MOVE: (46,354) 2011-09-16T16:20:00:203
MOVE: (43,354) 2011-09-16T16:20:00:212
MOVE: (42,354) 2011-09-16T16:20:00:251
