用户编号：12
当前时间：2011-09-16T16:13:44:791
任务号:5,任务：学习
小组号:3,小组:第3组
视频名称:大头儿子小头爸爸
问题类型:Comprehension
*************************Tapestry***********************
ComprehensionStart:2011-09-16T16:15:53:566
ComprehensionDown:2011-09-16T16:17:49:457
第0题的答案是：1,你选择的答案是：1
第1题的答案是：0,你选择的答案是：0
第2题的答案是：1,你选择的答案是：1
第3题的答案是：1,你选择的答案是：1
你的正确比例是4/4
MOVE: (165,672) 2011-09-16T16:13:59:813
MOVE: (168,673) 2011-09-16T16:13:59:821
MOVE: (169,673) 2011-09-16T16:13:59:829
MOVE: (170,673) 2011-09-16T16:13:59:837
MOVE: (171,673) 2011-09-16T16:13:59:853
MOVE: (172,673) 2011-09-16T16:13:59:893
MOVE: (173,673) 2011-09-16T16:13:59:901
MOVE: (177,674) 2011-09-16T16:13:59:909
MOVE: (181,675) 2011-09-16T16:13:59:917
MOVE: (185,675) 2011-09-16T16:13:59:925
MOVE: (191,675) 2011-09-16T16:13:59:933
MOVE: (197,676) 2011-09-16T16:13:59:941
MOVE: (201,676) 2011-09-16T16:13:59:949
MOVE: (206,676) 2011-09-16T16:13:59:957
MOVE: (211,676) 2011-09-16T16:13:59:965
MOVE: (214,676) 2011-09-16T16:13:59:973
MOVE: (217,676) 2011-09-16T16:13:59:981
MOVE: (219,676) 2011-09-16T16:13:59:989
MOVE: (221,676) 2011-09-16T16:13:59:997
MOVE: (223,676) 2011-09-16T16:14:00:5
MOVE: (225,676) 2011-09-16T16:14:00:13
MOVE: (226,676) 2011-09-16T16:14:00:21
MOVE: (227,676) 2011-09-16T16:14:00:29
MOVE: (229,676) 2011-09-16T16:14:00:37
MOVE: (231,677) 2011-09-16T16:14:00:45
MOVE: (233,677) 2011-09-16T16:14:00:53
MOVE: (236,678) 2011-09-16T16:14:00:61
MOVE: (240,678) 2011-09-16T16:14:00:70
MOVE: (243,678) 2011-09-16T16:14:00:77
MOVE: (246,678) 2011-09-16T16:14:00:85
MOVE: (251,678) 2011-09-16T16:14:00:93
MOVE: (253,678) 2011-09-16T16:14:00:101
MOVE: (255,678) 2011-09-16T16:14:00:109
MOVE: (256,678) 2011-09-16T16:14:00:117
MOVE: (258,678) 2011-09-16T16:14:00:125
MOVE: (259,678) 2011-09-16T16:14:00:133
MOVE: (260,678) 2011-09-16T16:14:00:141
MOVE: (262,678) 2011-09-16T16:14:00:149
MOVE: (263,678) 2011-09-16T16:14:00:157
MOVE: (265,679) 2011-09-16T16:14:00:165
MOVE: (267,679) 2011-09-16T16:14:00:173
MOVE: (269,679) 2011-09-16T16:14:00:181
MOVE: (271,679) 2011-09-16T16:14:00:189
MOVE: (272,679) 2011-09-16T16:14:00:205
MOVE: (273,679) 2011-09-16T16:14:00:213
MOVE: (275,679) 2011-09-16T16:14:00:285
MOVE: (276,679) 2011-09-16T16:14:00:293
MOVE: (278,680) 2011-09-16T16:14:00:301
MOVE: (281,680) 2011-09-16T16:14:00:309
MOVE: (283,680) 2011-09-16T16:14:00:317
MOVE: (286,680) 2011-09-16T16:14:00:325
MOVE: (287,680) 2011-09-16T16:14:00:333
MOVE: (288,680) 2011-09-16T16:14:00:341
MOVE: (289,680) 2011-09-16T16:14:00:349
MOVE: (290,680) 2011-09-16T16:14:00:366
MOVE: (291,680) 2011-09-16T16:14:00:381
MOVE: (292,680) 2011-09-16T16:14:00:389
MOVE: (293,680) 2011-09-16T16:14:00:405
MOVE: (294,680) 2011-09-16T16:14:00:413
MOVE: (295,680) 2011-09-16T16:14:00:429
MOVE: (296,680) 2011-09-16T16:14:00:445
MOVE: (297,680) 2011-09-16T16:14:00:453
MOVE: (298,680) 2011-09-16T16:14:00:461
MOVE: (299,680) 2011-09-16T16:14:00:469
MOVE: (300,680) 2011-09-16T16:14:00:477
MOVE: (302,680) 2011-09-16T16:14:00:485
MOVE: (303,680) 2011-09-16T16:14:00:493
MOVE: (305,680) 2011-09-16T16:14:00:501
MOVE: (307,680) 2011-09-16T16:14:00:509
MOVE: (309,680) 2011-09-16T16:14:00:517
MOVE: (311,680) 2011-09-16T16:14:00:525
MOVE: (312,680) 2011-09-16T16:14:00:533
MOVE: (314,680) 2011-09-16T16:14:00:541
MOVE: (316,680) 2011-09-16T16:14:00:550
MOVE: (319,680) 2011-09-16T16:14:00:557
MOVE: (322,680) 2011-09-16T16:14:00:565
MOVE: (324,680) 2011-09-16T16:14:00:573
MOVE: (327,680) 2011-09-16T16:14:00:581
MOVE: (329,680) 2011-09-16T16:14:00:589
MOVE: (332,680) 2011-09-16T16:14:00:597
MOVE: (334,679) 2011-09-16T16:14:00:605
MOVE: (338,679) 2011-09-16T16:14:00:614
MOVE: (340,679) 2011-09-16T16:14:00:621
MOVE: (342,679) 2011-09-16T16:14:00:629
MOVE: (344,678) 2011-09-16T16:14:00:637
MOVE: (346,678) 2011-09-16T16:14:00:645
MOVE: (349,678) 2011-09-16T16:14:00:653
MOVE: (352,678) 2011-09-16T16:14:00:661
MOVE: (355,677) 2011-09-16T16:14:00:669
MOVE: (358,677) 2011-09-16T16:14:00:677
MOVE: (361,677) 2011-09-16T16:14:00:685
MOVE: (364,676) 2011-09-16T16:14:00:693
MOVE: (367,675) 2011-09-16T16:14:00:701
MOVE: (371,675) 2011-09-16T16:14:00:709
MOVE: (375,674) 2011-09-16T16:14:00:717
MOVE: (378,674) 2011-09-16T16:14:00:725
MOVE: (381,674) 2011-09-16T16:14:00:733
MOVE: (384,673) 2011-09-16T16:14:00:741
MOVE: (387,673) 2011-09-16T16:14:00:749
MOVE: (390,672) 2011-09-16T16:14:00:757
MOVE: (394,672) 2011-09-16T16:14:00:765
MOVE: (399,671) 2011-09-16T16:14:00:773
MOVE: (405,670) 2011-09-16T16:14:00:781
MOVE: (409,669) 2011-09-16T16:14:00:789
MOVE: (415,668) 2011-09-16T16:14:00:797
MOVE: (420,667) 2011-09-16T16:14:00:805
MOVE: (426,666) 2011-09-16T16:14:00:813
MOVE: (432,664) 2011-09-16T16:14:00:821
MOVE: (438,663) 2011-09-16T16:14:00:829
MOVE: (445,661) 2011-09-16T16:14:00:837
MOVE: (453,660) 2011-09-16T16:14:00:845
MOVE: (460,660) 2011-09-16T16:14:00:853
MOVE: (469,659) 2011-09-16T16:14:00:863
MOVE: (477,658) 2011-09-16T16:14:00:869
MOVE: (484,658) 2011-09-16T16:14:00:878
MOVE: (502,657) 2011-09-16T16:14:00:895
MOVE: (511,657) 2011-09-16T16:14:00:901
MOVE: (521,656) 2011-09-16T16:14:00:909
MOVE: (531,655) 2011-09-16T16:14:00:917
MOVE: (539,654) 2011-09-16T16:14:00:925
MOVE: (549,653) 2011-09-16T16:14:00:933
MOVE: (557,652) 2011-09-16T16:14:00:941
MOVE: (565,651) 2011-09-16T16:14:00:949
MOVE: (575,651) 2011-09-16T16:14:00:958
MOVE: (585,651) 2011-09-16T16:14:00:965
MOVE: (594,651) 2011-09-16T16:14:00:973
MOVE: (605,651) 2011-09-16T16:14:00:981
MOVE: (616,651) 2011-09-16T16:14:00:989
MOVE: (629,651) 2011-09-16T16:14:00:997
MOVE: (642,651) 2011-09-16T16:14:01:5
MOVE: (654,651) 2011-09-16T16:14:01:13
MOVE: (665,651) 2011-09-16T16:14:01:20
MOVE: (677,651) 2011-09-16T16:14:01:29
MOVE: (688,651) 2011-09-16T16:14:01:37
MOVE: (696,651) 2011-09-16T16:14:01:45
MOVE: (704,651) 2011-09-16T16:14:01:53
MOVE: (711,651) 2011-09-16T16:14:01:61
MOVE: (719,651) 2011-09-16T16:14:01:69
MOVE: (728,651) 2011-09-16T16:14:01:77
MOVE: (735,651) 2011-09-16T16:14:01:85
MOVE: (743,653) 2011-09-16T16:14:01:93
